symbol,company_name,sector,index
MMM,3M,Industrial Conglomerates,SP500
AOS,A. O. Smith,Building Products,SP500
ABT,Abbott Laboratories,Health Care Equipment,SP500
ABBV,AbbVie,Biotechnology,SP500
ACN,Accenture,IT Consulting & Other Services,SP500
ADBE,Adobe Inc.,Application Software,SP500
AMD,Advanced Micro Devices,Semiconductors,SP500
AES,AES Corporation,Independent Power Producers & Energy Traders,SP500
AFL,Aflac,Life & Health Insurance,SP500
A,Agilent Technologies,Life Sciences Tools & Services,SP500
APD,Air Products,Industrial Gases,SP500
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines",SP500
AKAM,Akamai Technologies,Internet Services & Infrastructure,SP500
ALB,Albemarle Corporation,Specialty Chemicals,SP500
ARE,Alexandria Real Estate Equities,Office REITs,SP500
ALGN,Align Technology,Health Care Supplies,SP500
ALLE,Allegion,Building Products,SP500
LNT,Alliant Energy,Electric Utilities,SP500
ALL,Allstate,Property & Casualty Insurance,SP500
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,SP500
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,SP500
MO,Altria,Tobacco,SP500
AMZN,Amazon,Broadline Retail,SP500
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,SP500
AEE,Ameren,Multi-Utilities,SP500
AEP,American Electric Power,Electric Utilities,SP500
AXP,American Express,Consumer Finance,SP500
AIG,American International Group,Multi-line Insurance,SP500
AMT,American Tower,Telecom Tower REITs,SP500
AWK,American Water Works,Water Utilities,SP500
AMP,Ameriprise Financial,Asset Management & Custody Banks,SP500
AME,Ametek,Electrical Components & Equipment,SP500
AMGN,Amgen,Biotechnology,SP500
APH,Amphenol,Electronic Components,SP500
ADI,Analog Devices,Semiconductors,SP500
AON,Aon plc,Insurance Brokers,SP500
APA,APA Corporation,Oil & Gas Exploration & Production,SP500
APO,Apollo Global Management,Asset Management & Custody Banks,SP500
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",SP500
AMAT,Applied Materials,Semiconductor Materials & Equipment,SP500
APP,AppLovin,Advertising,SP500
APTV,Aptiv,Automotive Parts & Equipment,SP500
ACGL,Arch Capital Group,Property & Casualty Insurance,SP500
ADM,Archer Daniels Midland,Agricultural Products & Services,SP500
ARES,Ares Management,Asset Management & Custody Banks,SP500
ANET,Arista Networks,Communications Equipment,SP500
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,SP500
AIZ,Assurant,Multi-line Insurance,SP500
T,AT&T,Integrated Telecommunication Services,SP500
ATO,Atmos Energy,Gas Utilities,SP500
ADSK,Autodesk,Application Software,SP500
ADP,Automatic Data Processing,Human Resource & Employment Services,SP500
AZO,AutoZone,Automotive Retail,SP500
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,SP500
AXON,Axon Enterprise,Aerospace & Defense,SP500
BKR,Baker Hughes,Oil & Gas Equipment & Services,SP500
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",SP500
BAC,Bank of America,Diversified Banks,SP500
BAX,Baxter International,Health Care Equipment,SP500
BDX,Becton Dickinson,Health Care Equipment,SP500
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,SP500
BBY,Best Buy,Computer & Electronics Retail,SP500
TECH,Bio-Techne,Life Sciences Tools & Services,SP500
BIIB,Biogen,Biotechnology,SP500
BLK,BlackRock,Asset Management & Custody Banks,SP500
BX,Blackstone Inc.,Asset Management & Custody Banks,SP500
XYZ,"Block, Inc.",Transaction & Payment Processing Services,SP500
BNY,BNY Mellon,Asset Management & Custody Banks,SP500
BA,Boeing,Aerospace & Defense,SP500
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",SP500
BSX,Boston Scientific,Health Care Equipment,SP500
BMY,Bristol Myers Squibb,Pharmaceuticals,SP500
AVGO,Broadcom,Semiconductors,SP500
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,SP500
BRO,Brown & Brown,Insurance Brokers,SP500
BF.B,Brown–Forman,Distillers & Vintners,SP500
BLDR,Builders FirstSource,Building Products,SP500
BG,Bunge Global,Agricultural Products & Services,SP500
BXP,"BXP, Inc.",Office REITs,SP500
CHRW,C.H. Robinson,Air Freight & Logistics,SP500
CDNS,Cadence Design Systems,Application Software,SP500
CPT,Camden Property Trust,Multi-Family Residential REITs,SP500
COF,Capital One,Consumer Finance,SP500
CAH,Cardinal Health,Health Care Distributors,SP500
CCL,Carnival Corporation,"Hotels, Resorts & Cruise Lines",SP500
CARR,Carrier Global,Building Products,SP500
CVNA,Carvana,Automotive Retail,SP500
CASY,Casey's,Food Retail,SP500
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,SP500
CBOE,Cboe Global Markets,Financial Exchanges & Data,SP500
CBRE,CBRE Group,Real Estate Services,SP500
CDW,CDW Corporation,Technology Distributors,SP500
COR,Cencora,Health Care Distributors,SP500
CNC,Centene Corporation,Managed Health Care,SP500
CNP,CenterPoint Energy,Multi-Utilities,SP500
CF,CF Industries,Fertilizers & Agricultural Chemicals,SP500
CRL,Charles River Laboratories,Life Sciences Tools & Services,SP500
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,SP500
CHTR,Charter Communications,Cable & Satellite,SP500
CVX,Chevron Corporation,Integrated Oil & Gas,SP500
CMG,Chipotle Mexican Grill,Restaurants,SP500
CB,Chubb Limited,Property & Casualty Insurance,SP500
CHD,Church & Dwight,Household Products,SP500
CIEN,Ciena,Communications Equipment,SP500
CI,Cigna,Health Care Services,SP500
CINF,Cincinnati Financial,Property & Casualty Insurance,SP500
CTAS,Cintas,Diversified Support Services,SP500
CSCO,Cisco,Communications Equipment,SP500
C,Citigroup,Diversified Banks,SP500
CFG,Citizens Financial Group,Regional Banks,SP500
CLX,Clorox,Household Products,SP500
CME,CME Group,Financial Exchanges & Data,SP500
CMS,CMS Energy,Multi-Utilities,SP500
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,SP500
CTSH,Cognizant,IT Consulting & Other Services,SP500
COHR,Coherent Corp.,Electronic Components,SP500
COIN,Coinbase,Financial Exchanges & Data,SP500
CL,Colgate-Palmolive,Household Products,SP500
CMCSA,Comcast,Cable & Satellite,SP500
FIX,Comfort Systems USA,Construction & Engineering,SP500
COP,ConocoPhillips,Oil & Gas Exploration & Production,SP500
ED,Consolidated Edison,Multi-Utilities,SP500
STZ,Constellation Brands,Distillers & Vintners,SP500
CEG,Constellation Energy,Electric Utilities,SP500
COO,Cooper Companies (The),Health Care Supplies,SP500
CPRT,Copart,Diversified Support Services,SP500
GLW,Corning Inc.,Electronic Components,SP500
CPAY,Corpay,Transaction & Payment Processing Services,SP500
CTVA,Corteva,Fertilizers & Agricultural Chemicals,SP500
CSGP,CoStar Group,Real Estate Services,SP500
COST,Costco,Consumer Staples Merchandise Retail,SP500
CRH,CRH plc,Construction Materials,SP500
CRWD,CrowdStrike,Systems Software,SP500
CCI,Crown Castle,Telecom Tower REITs,SP500
CSX,CSX Corporation,Rail Transportation,SP500
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,SP500
CVS,CVS Health,Health Care Services,SP500
DHR,Danaher Corporation,Life Sciences Tools & Services,SP500
DRI,Darden Restaurants,Restaurants,SP500
DDOG,Datadog,Application Software,SP500
DVA,DaVita,Health Care Services,SP500
DECK,Deckers Brands,Footwear,SP500
DE,Deere & Company,Agricultural & Farm Machinery,SP500
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals",SP500
DAL,Delta Air Lines,Passenger Airlines,SP500
DVN,Devon Energy,Oil & Gas Exploration & Production,SP500
DXCM,Dexcom,Health Care Equipment,SP500
FANG,Diamondback Energy,Oil & Gas Exploration & Production,SP500
DLR,Digital Realty,Data Center REITs,SP500
DG,Dollar General,Consumer Staples Merchandise Retail,SP500
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,SP500
D,Dominion Energy,Multi-Utilities,SP500
DPZ,Domino's,Restaurants,SP500
DASH,DoorDash,Specialized Consumer Services,SP500
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,SP500
DOW,Dow Inc.,Commodity Chemicals,SP500
DHI,D. R. Horton,Homebuilding,SP500
DTE,DTE Energy,Multi-Utilities,SP500
DUK,Duke Energy,Electric Utilities,SP500
DD,DuPont,Industrial Conglomerates,SP500
ETN,Eaton Corporation,Electrical Components & Equipment,SP500
EBAY,eBay Inc.,Broadline Retail,SP500
ECHO,EchoStar,Wireless Telecommunication Services,SP500
ECL,Ecolab,Specialty Chemicals,SP500
EIX,Edison International,Electric Utilities,SP500
EW,Edwards Lifesciences,Health Care Equipment,SP500
ELV,Elevance Health,Managed Health Care,SP500
EME,Emcor,Construction & Engineering,SP500
EMR,Emerson Electric,Electrical Components & Equipment,SP500
ETR,Entergy,Electric Utilities,SP500
EOG,EOG Resources,Oil & Gas Exploration & Production,SP500
EQT,EQT Corporation,Oil & Gas Exploration & Production,SP500
EFX,Equifax,Research & Consulting Services,SP500
EQIX,Equinix,Data Center REITs,SP500
ERIE,Erie Indemnity,Insurance Brokers,SP500
ESS,Essex Property Trust,Multi-Family Residential REITs,SP500
EL,Estée Lauder Companies (The),Personal Care Products,SP500
EG,Everest Group,Reinsurance,SP500
EVRG,Evergy,Electric Utilities,SP500
ES,Eversource Energy,Electric Utilities,SP500
EXC,Exelon,Electric Utilities,SP500
EXE,Expand Energy,Oil & Gas Exploration & Production,SP500
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines",SP500
EXPD,Expeditors International,Air Freight & Logistics,SP500
EXR,Extra Space Storage,Self-Storage REITs,SP500
XOM,ExxonMobil,Integrated Oil & Gas,SP500
FFIV,"F5, Inc.",Communications Equipment,SP500
FDS,FactSet,Financial Exchanges & Data,SP500
FICO,Fair Isaac,Application Software,SP500
FAST,Fastenal,Trading Companies & Distributors,SP500
FRT,Federal Realty Investment Trust,Retail REITs,SP500
FDX,FedEx,Air Freight & Logistics,SP500
FDXF,FedEx Freight,Cargo Ground Transportation,SP500
FERG,Ferguson Enterprises,Trading Companies & Distributors,SP500
FIS,Fidelity National Information Services,Transaction & Payment Processing Services,SP500
FITB,Fifth Third Bancorp,Regional Banks,SP500
FSLR,First Solar,Semiconductors,SP500
FE,FirstEnergy,Electric Utilities,SP500
FISV,Fiserv,Transaction & Payment Processing Services,SP500
FLEX,Flex Ltd.,Electronic Manufacturing Services,SP500
F,Ford Motor Company,Automobile Manufacturers,SP500
FTNT,Fortinet,Systems Software,SP500
FTV,Fortive,Industrial Machinery & Supplies & Components,SP500
FOXA,Fox Corporation (Class A),Broadcasting,SP500
FOX,Fox Corporation (Class B),Broadcasting,SP500
BEN,Franklin Resources,Asset Management & Custody Banks,SP500
FCX,Freeport-McMoRan,Copper,SP500
GRMN,Garmin,Consumer Electronics,SP500
IT,Gartner,IT Consulting & Other Services,SP500
GE,GE Aerospace,Aerospace & Defense,SP500
GEHC,GE HealthCare,Health Care Equipment,SP500
GEV,GE Vernova,Heavy Electrical Equipment,SP500
GEN,Gen Digital,Systems Software,SP500
GNRC,Generac,Heavy Electrical Equipment,SP500
GD,General Dynamics,Aerospace & Defense,SP500
GIS,General Mills,Packaged Foods & Meats,SP500
GM,General Motors,Automobile Manufacturers,SP500
GPC,Genuine Parts Company,Distributors,SP500
GILD,Gilead Sciences,Biotechnology,SP500
GPN,Global Payments,Transaction & Payment Processing Services,SP500
GL,Globe Life,Life & Health Insurance,SP500
GDDY,GoDaddy,Internet Services & Infrastructure,SP500
GS,Goldman Sachs,Investment Banking & Brokerage,SP500
HAL,Halliburton,Oil & Gas Equipment & Services,SP500
HIG,Hartford (The),Property & Casualty Insurance,SP500
HAS,Hasbro,Leisure Products,SP500
HCA,HCA Healthcare,Health Care Facilities,SP500
DOC,Healthpeak Properties,Health Care REITs,SP500
HSIC,Henry Schein,Health Care Distributors,SP500
HSY,Hershey Company (The),Packaged Foods & Meats,SP500
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals",SP500
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines",SP500
HD,Home Depot (The),Home Improvement Retail,SP500
HONA,Honeywell Aerospace,Aerospace & Defense,SP500
HON,Honeywell Technologies,Industrial Conglomerates,SP500
HRL,Hormel Foods,Packaged Foods & Meats,SP500
HST,Host Hotels & Resorts,Hotel & Resort REITs,SP500
HWM,Howmet Aerospace,Aerospace & Defense,SP500
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals",SP500
HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,SP500
HUM,Humana,Managed Health Care,SP500
HBAN,Huntington Bancshares,Regional Banks,SP500
HII,Huntington Ingalls Industries,Aerospace & Defense,SP500
IBM,IBM,IT Consulting & Other Services,SP500
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,SP500
IDXX,Idexx Laboratories,Health Care Equipment,SP500
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,SP500
INCY,Incyte,Biotechnology,SP500
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,SP500
PODD,Insulet Corporation,Health Care Equipment,SP500
INTC,Intel,Semiconductors,SP500
IBKR,Interactive Brokers,Investment Banking & Brokerage,SP500
ICE,Intercontinental Exchange,Financial Exchanges & Data,SP500
IFF,International Flavors & Fragrances,Specialty Chemicals,SP500
IP,International Paper,Paper & Plastic Packaging Products & Materials,SP500
INTU,Intuit,Application Software,SP500
ISRG,Intuitive Surgical,Health Care Equipment,SP500
IVZ,Invesco,Asset Management & Custody Banks,SP500
INVH,Invitation Homes,Single-Family Residential REITs,SP500
IQV,IQVIA,Life Sciences Tools & Services,SP500
IRM,Iron Mountain,Other Specialized REITs,SP500
JBHT,J.B. Hunt,Cargo Ground Transportation,SP500
JBL,Jabil,Electronic Manufacturing Services,SP500
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,SP500
J,Jacobs Solutions,Construction & Engineering,SP500
JNJ,Johnson & Johnson,Pharmaceuticals,SP500
JCI,Johnson Controls,Building Products,SP500
JPM,JPMorgan Chase,Diversified Banks,SP500
KVUE,Kenvue,Personal Care Products,SP500
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,SP500
KEY,KeyCorp,Regional Banks,SP500
KEYS,Keysight Technologies,Electronic Equipment & Instruments,SP500
KMB,Kimberly-Clark,Household Products,SP500
KIM,Kimco Realty,Retail REITs,SP500
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,SP500
KKR,KKR & Co.,Asset Management & Custody Banks,SP500
KLAC,KLA Corporation,Semiconductor Materials & Equipment,SP500
KHC,Kraft Heinz,Packaged Foods & Meats,SP500
KR,Kroger,Food Retail,SP500
LHX,L3Harris,Aerospace & Defense,SP500
LH,Labcorp,Health Care Services,SP500
LRCX,Lam Research,Semiconductor Materials & Equipment,SP500
LVS,Las Vegas Sands,Casinos & Gaming,SP500
LDOS,Leidos,Diversified Support Services,SP500
LEN,Lennar,Homebuilding,SP500
LII,Lennox International,Building Products,SP500
LLY,Lilly (Eli),Pharmaceuticals,SP500
LIN,Linde plc,Industrial Gases,SP500
LYV,Live Nation Entertainment,Movies & Entertainment,SP500
LMT,Lockheed Martin,Aerospace & Defense,SP500
L,Loews Corporation,Multi-line Insurance,SP500
LOW,Lowe's,Home Improvement Retail,SP500
LULU,Lululemon Athletica,"Apparel, Accessories & Luxury Goods",SP500
LITE,Lumentum,Communications Equipment,SP500
LYB,LyondellBasell,Specialty Chemicals,SP500
MTB,M&T Bank,Regional Banks,SP500
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,SP500
MAR,Marriott International,"Hotels, Resorts & Cruise Lines",SP500
MRSH,Marsh McLennan,Insurance Brokers,SP500
MLM,Martin Marietta Materials,Construction Materials,SP500
MRVL,Marvell Technology,Semiconductors,SP500
MAS,Masco,Building Products,SP500
MA,Mastercard,Transaction & Payment Processing Services,SP500
MKC,McCormick & Company,Packaged Foods & Meats,SP500
MCD,McDonald's,Restaurants,SP500
MCK,McKesson Corporation,Health Care Distributors,SP500
MDT,Medtronic,Health Care Equipment,SP500
MRK,Merck & Co.,Pharmaceuticals,SP500
META,Meta Platforms,Interactive Media & Services,SP500
MET,MetLife,Life & Health Insurance,SP500
MTD,Mettler Toledo,Life Sciences Tools & Services,SP500
MGM,MGM Resorts,Casinos & Gaming,SP500
MCHP,Microchip Technology,Semiconductors,SP500
MU,Micron Technology,Semiconductors,SP500
MSFT,Microsoft,Systems Software,SP500
MAA,Mid-America Apartment Communities,Multi-Family Residential REITs,SP500
MRNA,Moderna,Biotechnology,SP500
TAP,Molson Coors Beverage Company,Brewers,SP500
MDLZ,Mondelez International,Packaged Foods & Meats,SP500
MPWR,Monolithic Power Systems,Semiconductors,SP500
MNST,Monster Beverage,Soft Drinks & Non-alcoholic Beverages,SP500
MCO,Moody's Corporation,Financial Exchanges & Data,SP500
MS,Morgan Stanley,Investment Banking & Brokerage,SP500
MOS,Mosaic Company (The),Fertilizers & Agricultural Chemicals,SP500
MSI,Motorola Solutions,Communications Equipment,SP500
MSCI,MSCI,Financial Exchanges & Data,SP500
NDAQ,"Nasdaq, Inc.",Financial Exchanges & Data,SP500
NTAP,NetApp,"Technology Hardware, Storage & Peripherals",SP500
NFLX,Netflix,Movies & Entertainment,SP500
NEM,Newmont,Gold,SP500
NWSA,News Corp (Class A),Publishing,SP500
NWS,News Corp (Class B),Publishing,SP500
NEE,NextEra Energy,Multi-Utilities,SP500
NKE,"Nike, Inc.","Apparel, Accessories & Luxury Goods",SP500
NI,NiSource,Multi-Utilities,SP500
NDSN,Nordson Corporation,Industrial Machinery & Supplies & Components,SP500
NSC,Norfolk Southern,Rail Transportation,SP500
NTRS,Northern Trust,Asset Management & Custody Banks,SP500
NOC,Northrop Grumman,Aerospace & Defense,SP500
NCLH,Norwegian Cruise Line Holdings,"Hotels, Resorts & Cruise Lines",SP500
NRG,NRG Energy,Independent Power Producers & Energy Traders,SP500
NUE,Nucor,Steel,SP500
NVDA,Nvidia,Semiconductors,SP500
NVR,"NVR, Inc.",Homebuilding,SP500
NXPI,NXP Semiconductors,Semiconductors,SP500
ORLY,O'Reilly Automotive,Automotive Retail,SP500
OXY,Occidental Petroleum,Oil & Gas Exploration & Production,SP500
ODFL,Old Dominion,Cargo Ground Transportation,SP500
OMC,Omnicom Group,Advertising,SP500
ON,ON Semiconductor,Semiconductors,SP500
OKE,Oneok,Oil & Gas Storage & Transportation,SP500
ORCL,Oracle Corporation,Application Software,SP500
OTIS,Otis Worldwide,Industrial Machinery & Supplies & Components,SP500
PCAR,Paccar,Construction Machinery & Heavy Transportation Equipment,SP500
PKG,Packaging Corporation of America,Paper & Plastic Packaging Products & Materials,SP500
PLTR,Palantir Technologies,Application Software,SP500
PANW,Palo Alto Networks,Systems Software,SP500
PSKY,Paramount Skydance Corporation,Movies & Entertainment,SP500
PH,Parker Hannifin,Industrial Machinery & Supplies & Components,SP500
PAYX,Paychex,Human Resource & Employment Services,SP500
PYPL,PayPal,Transaction & Payment Processing Services,SP500
PNR,Pentair,Industrial Machinery & Supplies & Components,SP500
PEP,PepsiCo,Soft Drinks & Non-alcoholic Beverages,SP500
PFE,Pfizer,Pharmaceuticals,SP500
PCG,PG&E Corporation,Multi-Utilities,SP500
PM,Philip Morris International,Tobacco,SP500
PSX,Phillips 66,Oil & Gas Refining & Marketing,SP500
PNW,Pinnacle West Capital,Multi-Utilities,SP500
PNC,PNC Financial Services,Diversified Banks,SP500
PPG,PPG Industries,Specialty Chemicals,SP500
PPL,PPL Corporation,Electric Utilities,SP500
PFG,Principal Financial Group,Life & Health Insurance,SP500
PG,Procter & Gamble,Personal Care Products,SP500
PGR,Progressive Corporation,Property & Casualty Insurance,SP500
PLD,Prologis,Industrial REITs,SP500
PRU,Prudential Financial,Life & Health Insurance,SP500
PEG,Public Service Enterprise Group,Electric Utilities,SP500
PTC,PTC Inc.,Application Software,SP500
PSA,Public Storage,Self-Storage REITs,SP500
PHM,PulteGroup,Homebuilding,SP500
PWR,Quanta Services,Construction & Engineering,SP500
QCOM,Qualcomm,Semiconductors,SP500
DGX,Quest Diagnostics,Health Care Services,SP500
Q,Qnity Electronics,Semiconductor Materials & Equipment,SP500
RL,Ralph Lauren Corporation,"Apparel, Accessories & Luxury Goods",SP500
RJF,Raymond James Financial,Investment Banking & Brokerage,SP500
RDDT,Reddit,Interactive Media & Services,SP500
RTX,RTX Corporation,Aerospace & Defense,SP500
O,Realty Income,Retail REITs,SP500
REG,Regency Centers,Retail REITs,SP500
REGN,Regeneron Pharmaceuticals,Biotechnology,SP500
RF,Regions Financial Corporation,Regional Banks,SP500
RSG,Republic Services,Environmental & Facilities Services,SP500
RMD,ResMed|,Health Care Equipment,SP500
RVTY,Revvity,Health Care Equipment,SP500
HOOD,Robinhood Markets,Investment Banking & Brokerage,SP500
ROK,Rockwell Automation,Electrical Components & Equipment,SP500
ROL,"Rollins, Inc.",Environmental & Facilities Services,SP500
ROP,Roper Technologies,Electronic Equipment & Instruments,SP500
ROST,Ross Stores,Apparel Retail,SP500
RCL,Royal Caribbean Group,"Hotels, Resorts & Cruise Lines",SP500
SPGI,S&P Global,Financial Exchanges & Data,SP500
CRM,Salesforce,Application Software,SP500
SNDK,Sandisk,"Technology Hardware, Storage & Peripherals",SP500
SBAC,SBA Communications,Telecom Tower REITs,SP500
SLB,Schlumberger,Oil & Gas Equipment & Services,SP500
STX,Seagate Technology,"Technology Hardware, Storage & Peripherals",SP500
SRE,Sempra,Multi-Utilities,SP500
NOW,ServiceNow,Systems Software,SP500
SHW,Sherwin-Williams,Specialty Chemicals,SP500
SPG,Simon Property Group,Retail REITs,SP500
SWKS,Skyworks Solutions,Semiconductors,SP500
SJM,J.M. Smucker Company (The),Packaged Foods & Meats,SP500
SW,Smurfit Westrock,Paper & Plastic Packaging Products & Materials,SP500
SNA,Snap-on,Industrial Machinery & Supplies & Components,SP500
SOLV,Solventum,Health Care Technology,SP500
SO,Southern Company,Electric Utilities,SP500
LUV,Southwest Airlines,Passenger Airlines,SP500
SWK,Stanley Black & Decker,Industrial Machinery & Supplies & Components,SP500
SBUX,Starbucks,Restaurants,SP500
STT,State Street Corporation,Asset Management & Custody Banks,SP500
STLD,Steel Dynamics,Steel,SP500
STE,Steris,Health Care Equipment,SP500
SYK,Stryker Corporation,Health Care Equipment,SP500
SMCI,Supermicro,"Technology Hardware, Storage & Peripherals",SP500
