symbol,company_name,sector,index
TXG,10x Genomics,Health Care,RUSSELL1000
MMM,3M,Industrials,RUSSELL1000
AOS,A. O. Smith,Industrials,RUSSELL1000
AAON,AAON,Industrials,RUSSELL1000
ABT,Abbott Laboratories,Health Care,RUSSELL1000
ABBV,AbbVie,Health Care,RUSSELL1000
ACHC,Acadia Healthcare,Health Care,RUSSELL1000
ACN,Accenture,Information Technology,RUSSELL1000
AYI,Acuity Brands,Industrials,RUSSELL1000
ADBE,Adobe Inc.,Information Technology,RUSSELL1000
ADT,ADT Inc.,Consumer Discretionary,RUSSELL1000
AAP,Advance Auto Parts,Consumer Discretionary,RUSSELL1000
WMS,Advanced Drainage Systems,Industrials,RUSSELL1000
AMD,Advanced Micro Devices,Information Technology,RUSSELL1000
ACM,AECOM,Industrials,RUSSELL1000
AES,AES Corporation,Utilities,RUSSELL1000
AMG,Affiliated Managers Group,Financials,RUSSELL1000
AFRM,Affirm Holdings,Information Technology,RUSSELL1000
AFL,Aflac,Financials,RUSSELL1000
AGCO,AGCO,Industrials,RUSSELL1000
A,Agilent Technologies,Health Care,RUSSELL1000
ADC,Agree Realty,Real Estate,RUSSELL1000
AGNC,AGNC Investment,Financials,RUSSELL1000
AL,Air Lease Corporation,Industrials,RUSSELL1000
APD,Air Products,Materials,RUSSELL1000
ABNB,Airbnb,Consumer Discretionary,RUSSELL1000
AKAM,Akamai Technologies,Information Technology,RUSSELL1000
ALK,Alaska Air Group,Industrials,RUSSELL1000
ALB,Albemarle Corporation,Materials,RUSSELL1000
ACI,Albertsons,Consumer Staples,RUSSELL1000
AA,Alcoa,Materials,RUSSELL1000
ARE,Alexandria Real Estate Equities,Real Estate,RUSSELL1000
ALGN,Align Technology,Health Care,RUSSELL1000
ALLE,Allegion,Industrials,RUSSELL1000
ALGM,Allegro MicroSystems,Information Technology,RUSSELL1000
LNT,Alliant Energy,Utilities,RUSSELL1000
ALSN,Allison Transmission,Industrials,RUSSELL1000
ALL,Allstate,Financials,RUSSELL1000
ALLY,Ally Financial,Financials,RUSSELL1000
ALNY,Alnylam Pharmaceuticals,Health Care,RUSSELL1000
GOOGL,Alphabet (Class A),Communication Services,RUSSELL1000
GOOG,Alphabet (Class C),Communication Services,RUSSELL1000
MO,Altria,Consumer Staples,RUSSELL1000
AMZN,Amazon,Consumer Discretionary,RUSSELL1000
AMCR,Amcor,Materials,RUSSELL1000
DOX,Amdocs,Information Technology,RUSSELL1000
AMED,Amedisys,Health Care,RUSSELL1000
AMTM,Amentum,Industrials,RUSSELL1000
AS,Amer Sports,Consumer Discretionary,RUSSELL1000
AEE,Ameren,Utilities,RUSSELL1000
AAL,American Airlines Group,Industrials,RUSSELL1000
AEP,American Electric Power,Utilities,RUSSELL1000
AXP,American Express,Financials,RUSSELL1000
AFG,American Financial Group,Financials,RUSSELL1000
AMH,American Homes 4 Rent,Real Estate,RUSSELL1000
AIG,American International Group,Financials,RUSSELL1000
AMT,American Tower,Real Estate,RUSSELL1000
AWK,American Water Works,Utilities,RUSSELL1000
COLD,Americold,Real Estate,RUSSELL1000
AMP,Ameriprise Financial,Financials,RUSSELL1000
AME,Ametek,Industrials,RUSSELL1000
AMGN,Amgen,Health Care,RUSSELL1000
AMKR,Amkor Technology,Information Technology,RUSSELL1000
APH,Amphenol,Information Technology,RUSSELL1000
ADI,Analog Devices,Information Technology,RUSSELL1000
ANGI,Angi Inc.,Communication Services,RUSSELL1000
NLY,Annaly Capital Management,Financials,RUSSELL1000
ANSS,Ansys,Information Technology,RUSSELL1000
AM,Antero Midstream,Energy,RUSSELL1000
AR,Antero Resources,Energy,RUSSELL1000
AON,AON,Financials,RUSSELL1000
APA,APA Corporation,Energy,RUSSELL1000
APG,APi Group,Industrials,RUSSELL1000
APLS,Apellis Pharmaceuticals,Health Care,RUSSELL1000
APO,Apollo Global Management,Financials,RUSSELL1000
APPF,AppFolio,Information Technology,RUSSELL1000
AAPL,Apple Inc.,Information Technology,RUSSELL1000
AMAT,Applied Materials,Information Technology,RUSSELL1000
APP,AppLovin,Information Technology,RUSSELL1000
ATR,AptarGroup,Materials,RUSSELL1000
APTV,Aptiv,Consumer Discretionary,RUSSELL1000
ARMK,Aramark,Consumer Discretionary,RUSSELL1000
ACGL,Arch Capital Group,Financials,RUSSELL1000
ADM,Archer Daniels Midland,Consumer Staples,RUSSELL1000
ARES,Ares Management,Financials,RUSSELL1000
ANET,Arista Networks,Information Technology,RUSSELL1000
AWI,Armstrong World Industries,Industrials,RUSSELL1000
ARW,Arrow Electronics,Information Technology,RUSSELL1000
AJG,Arthur J. Gallagher & Co.,Financials,RUSSELL1000
ASH,Ashland Global,Materials,RUSSELL1000
AIZ,Assurant,Financials,RUSSELL1000
AGO,Assured Guaranty,Financials,RUSSELL1000
ALAB,Astera Labs,Information Technology,RUSSELL1000
T,AT&T,Communication Services,RUSSELL1000
ATI,ATI Inc.,Industrials,RUSSELL1000
TEAM,Atlassian,Information Technology,RUSSELL1000
ATO,Atmos Energy,Utilities,RUSSELL1000
ADSK,Autodesk,Information Technology,RUSSELL1000
ADP,Automatic Data Processing,Industrials,RUSSELL1000
AN,AutoNation,Consumer Discretionary,RUSSELL1000
AZO,AutoZone,Consumer Discretionary,RUSSELL1000
AVB,AvalonBay Communities,Real Estate,RUSSELL1000
AVTR,Avantor,Health Care,RUSSELL1000
AVY,Avery Dennison,Materials,RUSSELL1000
CAR,Avis Budget Group,Industrials,RUSSELL1000
AVT,Avnet,Information Technology,RUSSELL1000
AXTA,Axalta,Materials,RUSSELL1000
AXS,AXIS Capital,Financials,RUSSELL1000
AXON,Axon Enterprise,Industrials,RUSSELL1000
AZEK,Azek,Industrials,RUSSELL1000
AZTA,Azenta,Health Care,RUSSELL1000
BKR,Baker Hughes,Energy,RUSSELL1000
BALL,Ball Corporation,Materials,RUSSELL1000
BAC,Bank of America,Financials,RUSSELL1000
OZK,Bank OZK,Financials,RUSSELL1000
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,RUSSELL1000
BAX,Baxter International,Health Care,RUSSELL1000
BDX,Becton Dickinson,Health Care,RUSSELL1000
BRBR,BellRing Brands,Consumer Staples,RUSSELL1000
BSY,Bentley Systems,Information Technology,RUSSELL1000
BRK.B,Berkshire Hathaway,Financials,RUSSELL1000
BBY,Best Buy,Consumer Discretionary,RUSSELL1000
BILL,Bill.com,Information Technology,RUSSELL1000
BIO,Bio-Rad Laboratories,Health Care,RUSSELL1000
TECH,Bio-Techne,Health Care,RUSSELL1000
BIIB,Biogen,Health Care,RUSSELL1000
BMRN,BioMarin Pharmaceutical,Health Care,RUSSELL1000
BIRK,Birkenstock,Consumer Discretionary,RUSSELL1000
BJ,BJ's Wholesale Club,Consumer Staples,RUSSELL1000
BLK,BlackRock,Financials,RUSSELL1000
BX,Blackstone Inc.,Financials,RUSSELL1000
HRB,H&R Block,Consumer Discretionary,RUSSELL1000
XYZ,"Block, Inc.",Financials,RUSSELL1000
OWL,Blue Owl Capital,Financials,RUSSELL1000
BK,BNY Mellon,Financials,RUSSELL1000
BA,Boeing,Industrials,RUSSELL1000
BOKF,BOK Financial Corporation,Financials,RUSSELL1000
BKNG,Booking Holdings,Consumer Discretionary,RUSSELL1000
BAH,Booz Allen Hamilton,Industrials,RUSSELL1000
BWA,BorgWarner,Consumer Discretionary,RUSSELL1000
SAM,Boston Beer Company,Consumer Staples,RUSSELL1000
BSX,Boston Scientific,Health Care,RUSSELL1000
